言为心声 言语是思想的反映，从一个人的话里可以知道他的思想感情。
心领意会 指对方没有明说，心里已经领会。同心领神会”。
适心娱目 犹言喜心悦目。
一寸丹心 丹心赤心，忠贞的心。一片赤诚的心。
心浮气躁 形容人性情浮躁，做事不踏实。
安心乐业 指心绪安定，生活愉快。
触目恸心 恸极悲哀；大哭。看到眼前景物而引起内心悲伤。
名士风流 名士指恃才放达不拘小节的人。名士的风度和习气。指有才学而不拘礼法。
从心所欲 按照自己的意思，想怎样便怎样。
言之不预 没有预先说明。
豺狐之心 指有豺狼和狐狸那样的凶残、狡猾的心肠。
顺风而呼 顺着风向呼喊，声音传得远，使人听得清。比喻凭借外力可有较好效果。
心劳意冗 心里着慌，乱了主意。同心劳意攘”。
爽心悦目 指景色美丽，令人心情愉快。
目挑心悦 指眉眼传情，两心相悦。
视而不见 指不注意，不重视，睁着眼却没看见。也指不理睬，看见了当作没看见。
目眐心骇 因惊恐而楞住的样子。
心甘情原 非常愿意，没有丝毫勉强。
缄口不言 缄封闭。封住嘴巴，不开口说话。
甘心情原 指完全愿意。
胆破心寒 形容由于恐惧而伏帖的样子。
破胆寒心 犹胆颤心惊。形容非常恐惧。
百虑攒心 各种思虑一齐聚集在心头。
爽心豁目 心神爽朗，眼界开阔。
金石之言 象黄金宝石那样珍贵的话语。比喻可贵而有价值的劝告。
实心实意 指真诚实在的心意。
剑气箫心 犹剑胆琴心。比喻既有情致，又有胆识（旧小说多用来形容能文能武的才子）。
竭尽心力 竭尽，用尽。用尽全部力量。
尽心竭力 尽全部用出；竭用尽。用尽心思，使出全力。形容做事十分努力。
身心交瘁 身体衰弱，精神不振。
骨化风成 指人的性情气质受感染而变化，一种新的社会风气已经形成。
心如坚石 心象铁石一样坚硬。比喻心肠硬或意志十分坚决。同心如铁石”。
心心相印 心心意，思想感情；印符合。彼此的心意不用说出，就可以互相了解。形容彼此思想感情完全一致。
清风高节 比喻人品格纯洁，节操高尚。
妙不可言 妙美妙。形容好得难以用文字、语言表达。
成一家言 指学问自成体系可派别。
山高水长 象山一样高耸，如水一般长流。原比喻人的风范或声誉象高山一样永远存在◇比喻恩德深厚。
长生不老 长生永生。原为道教的话，后也用作对年长者的祝愿语。
铁石心肝 犹言铁石心肠。形容人刚强的秉性。同铁石心肠”。
高节清风 高节高尚的气节；清风清廉的作风。气节高尚，作风清廉。比喻人品高洁。
钳口不言 钳口闭口。闭着嘴不说话。
弱不禁风 禁承受。形容身体娇弱，连风吹都经受不起。
十指连心 十个指头连着心。表示身体的每个小部分都跟心有不可分的关系。比喻亲人跟自身休戚相关。
神会心融 犹言融会贯通。把各方面的知识和道理融化汇合，得到全面透彻的理解。
目注心凝 犹言全神贯注。形容注意力高度集中。
万箭穿心 犹万箭攒心。形容万分伤痛。
恻隐之心 恻隐对别人的不幸表示同情。形容对人寄予同情。
西子捧心 指美女之病态，愈增其妍。
用心用意 犹言专心致志。形容一心一意，聚精会神。
草靡风行 比喻道德文教的感化人。同风行草偃”。
狼子野心 狼子狼崽子。狼崽子虽幼，却有凶恶的本性。比喻凶暴的人居心狠毒，习性难改。
风行草靡 比喻强大的势力能制服一切。
不相为谋 谋商量。相互之间没法商量。指彼此观点不同，不宜共同谋划事情。
捧心西子 西子春秋时越国美女西施。西子因心痛而捧心皱眉，仍然显得很漂亮。形容美女娇弱之态。
心荡神怡 指神魂颠倒，不能自持。亦指情思被外物吸引而飘飘然。同心荡神摇”。
动人心魄 魄迷信者指依附人形体而存在的精神。形容使人感动或令人震惊。
克肩一心 指能一心以事君。
不以为奇 并不觉得奇怪。表示这是见惯了的。
出言不逊 逊谦让，有礼貌。说话粗暴无礼。
出一头地 指当避开此人让其高出众人一头之地◇以之比喻高人一着。
娱心悦目 娱、悦使愉快。使心情愉快，耳目舒畅。
悦目娱心 使眼睛高兴，使心里快乐。形容使人感到美好快乐。
高山流水 比喻知己或知音。也比喻乐曲高妙。
流水高山 比喻知己或知音。也比喻乐曲高妙。
一心一路 犹一心一意。只有一个心眼儿，没有别的考虑。
言行相诡 诡违反，违背。说的和做的相违背。指言行不一。
春风得意 得意扬扬自得的样子。旧时形容考中进士后的兴奋心情◇形容职位升迁顺利。
风木之思 比喻父母亡故，不及孝养而生的思念之情。
言不逮意 说的话不能准确地表达思想内容。同言不达意”。
刿目鉥心 犹言呕心沥血。比喻用尽心思。
人心归向 向归向，向往。指人民群众所拥护的，向往的。
天理良心 天理自然之理，上天主持的公理。良心旧指人类纯真善良之心。指人的天性善心。
心去难留 去离开。心已在别处，难以挽留。
鉥心刿目 犹言呕心沥血。比喻用尽心思。多形容为事业、工作、文艺创作等用心的艰苦。
议论风生 形容谈论广泛、生动而又风趣。
论议风生 谈论得极其生动而又风趣。
以意为之 只凭自己的主观想法去做。
遂心快意 形容心满意足，事情的发展完全符合心意。同遂心如意”。
快心遂意 犹言称心如意。形容心满意足，事情的发展完全符合心意。
一代风流 指创立风尚、为当时景仰的人物。
刿目怵心 刿刺伤；怵惊动。指触目惊心。
刿心怵目 指触目惊心。见刿目怵心”。
要而言之 要简要。概括地说，简单地说。
草偃风行 比喻道德文教的感化人。同风行草偃”。
风行草偃 偃倒伏。风一吹草就倒下。比喻道德文教的感化人。
心中有数 对情况和问题有基本的了解，处理事情有一定把握。
言行相符 说的和做的相符合。
不败之地 原意是指善于打仗的就有取胜的把握，不会落到挫败的境地◇泛指办事有成功的充分把握。
以日为年 过一日如同过一年的时间那样漫长难熬。形容心情焦急。亦作以日为岁”。
文采风流 横溢的才华与潇洒的风度。亦指才华横溢与风度潇洒的人物。
意懒心灰 心、意心思，意志；灰、懒消沉，消极。灰心失望，意志消沉。
心灰意懒 心、意心思，意志；灰、懒消沉，消极。灰心失望，意志消沉。
问心无愧 问心问问自己。扪心自问，毫无愧色。
洗心回面 比喻彻底悔改。同洗心革面”。
自食其言 指说了话不算数。
惊心裂胆 指内心十分震惊、恐惧。同惊心破胆”。
心满愿足 形容心中非常满意。同心满意足”。
风吹马耳 比喻对别人的话无动于衷。
不壹而三 指再三；多次。
清耳悦心 耳为之清宁，心为之欢喜。形容乐曲美妙动人。
心惊胆裂 形容极度惊恐。
风和日美 微风和畅，阳光明丽。同风和日丽”。
先得我心 得适合，契合。比喻别人先说出了自己心里想说的话。
风雨同舟 在狂风暴雨中同乘一条船，一起与风雨搏斗。比喻共同经历患难。
蔚然成风 蔚然草木茂盛的样子。指一件事情逐渐发展盛行，形成一种良好风气。
平地风波 平地上起风浪。比喻突然发生意料不到的纠纷或事故。
不谋而同 谋商量；同相同。事先没有商量过，意见或行动却完全一致。
全心全意 投入全部精力，一点没有保留。
和而不同 和和睦；同苟同⊥睦地相处，但不随便附和。
惊心吊胆 形容十分害怕或担心。
劳心苦思 费尽心机，苦思焦虑。
吊胆惊心 犹言吊胆提心。
雷动风行 ①指万物运动变化迅速。②比喻推行政令的严厉迅猛。
论辩风生 议论辩驳，极生动而又风趣。
苟且之心 苟且得过且过。指得过且过、只顾眼前思想。亦指想做不正当事情的念头。一般多指男女关系。
动人心弦 把心比作琴，拨动了心中的琴弦。形容事物激动人心。
一瓣心香 心香旧时称中心虔诚，就能感通佛道，同焚香一样。比喻十分真诚的心意（用在祝愿）。
心旷神怡 旷开阔；怡愉快。心境开阔，精神愉快。
输心服意 犹言真心顺从。
心怡神旷 心境开阔，精神愉快。同心旷神怡”。
千山万水 万道河，千重山。形容路途艰难遥远。
万水千山 万道河，千重山。形容路途艰难遥远。
歪心邪意 指心术不正。
言行相副 说的和做的相符合。同言行相符”。
千水万山 形容路途艰难遥远。同千山万水”。
言行相悖 说话和行动不一致，互相矛盾。
神怡心旷 精神愉悦，心胸开阔。
旷心怡神 舒畅心胸，愉悦精神。
劳形苦心 身体疲劳，精神困乏。
口诵心惟 诵朗读；惟思考。口中朗诵，心里思考。
不可言状 言说；状描绘。无法用言语形容。
随心所欲 随任凭；欲想要。随着自己的意思，想要干什么就干什么。
杨花心性 比喻轻薄浪漫，用情不专。
同心协济 指齐心协力，克服困难。同同心共济”。
一家之言 指有独特见解自成体系的论著。
依心像意 犹言称心如意。
人心向背 向归向，指拥护；背背离，指反对。指人民大众的拥护或反对。
像心称意 指称心满意。
鸟声兽心 比喻言辞动听而心怀阴毒。
云涌风飞 云阵奔涌，狂风发作。形容文章气势磅礴。
心领神悟 指对方没有明说，心里已经领会。同心领神会”。
平地风雷 犹言平地一声雷。比喻突然发生的重大变动。也比喻名声或地位突然升高。
真心真意 犹真心实意。
众心如城 万众一心，象坚固的城墙一样不可摧毁。比喻团结一致，力量无比强大。
贼人心虚 指做了坏事的人，时刻胆战心惊，怕坏事败露。
一片丹心 一片红心。指忠诚之心。
心服口服 服信服。心里嘴上都信服。指真心信服。
口服心服 服信服。心里嘴上都信服。指真心信服。
遂心应手 犹得心应手。形容运用自如。
